Employee #,Last Name,First Name,Birthday,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,10/11/1983,966-860-270,44-4506057-3,8.20127E+11,442-605-657-000,6.91295E+11,Regular,Chief Executive Officer,90000,1500,2000,1000,45000,535.71
10002,Lim,Antonio,06/19/1988,171-867-411,52-2061274-9,3.31736E+11,683-102-776-000,6.63905E+11,Regular,Chief Operating Officer,60000,1500,2000,1000,30000,357.14
10003,Aquino,Bianca Sofia,08/04/1989,966-889-370,30-8870406-2,1.77451E+11,971-711-280-000,1.7152E+11,Regular,Chief Finance Officer,60000,1500,2000,1000,30000,357.14
10004,Reyes,Isabella,06/16/1994,786-868-477,40-2511815-0,3.41911E+11,876-809-437-000,4.16947E+11,Regular,Chief Marketing Officer,60000,1500,2000,1000,30000,357.14
10005,Hernandez,Eduard,09/23/1989,088-861-012,50-5577638-1,9.57436E+11,031-702-374-000,9.52347E+11,Regular,IT Operations and Systems,52670,1500,1000,1000,26335,313.51
10006,Villanueva,Andrea Mae,02/14/1988,918-621-603,49-1632020-8,3.82189E+11,317-674-022-000,4.41093E+11,Regular,HR Manager,52670,1500,1000,1000,26335,313.51
10007,San Jose,Brad ,03/15/1996,797-009-261,40-2400714-1,2.39193E+11,672-474-690-000,2.1085E+11,Regular,HR Team Leader,42975,1500,800,800,21488,255.8
10008,Romualdez,Alice,05/14/1992,983-606-799,55-4476527-2,5.45653E+11,888-572-294-000,2.11386E+11,Regular,HR Rank and File,22500,1500,500,500,11250,133.93
10009,Atienza,Rosie ,09/24/1948,266-036-427,41-0644692-3,7.08988E+11,604-997-793-000,2.60108E+11,Regular,HR Rank and File,22500,1500,500,500,11250,133.93
10010,Alvaro,Roderick,03/30/1988,053-381-386,64-7605054-4,5.78115E+11,525-420-419-000,7.99254E+11,Regular,Accounting Head,52670,1500,1000,1000,26335,313.51
10011,Salcedo,Anthony,09/14/1993,070-766-300,26-9647608-3,1.26445E+11,210-805-911-000,2.18002E+11,Regular,Payroll Manager,50825,1500,1000,1000,25413,302.53
10012,Lopez,Josie ,01/14/1987,478-355-427,44-8563448-3,4.31709E+11,218-489-737-000,1.13071E+11,Regular,Payroll Team Leader,38475,1500,800,800,19238,229.02
